Date,Open,High,Low,Close,Adj Close,Volume
10/23/2006,1368.579956,1377.400024,1363.939941,1377.02002,1377.02002,2480430000
10/24/2006,1377.02002,1377.780029,1372.420044,1377.380005,1377.380005,2876890000
10/25/2006,1377.359985,1383.609985,1376,1382.219971,1382.219971,2953540000
10/26/2006,1382.209961,1389.449951,1379.469971,1389.079956,1389.079956,2793350000
10/27/2006,1388.890015,1388.890015,1375.849976,1377.339966,1377.339966,2458450000
10/30/2006,1377.300049,1381.219971,1373.459961,1377.930054,1377.930054,2770440000
10/31/2006,1377.930054,1381.209961,1372.189941,1377.939941,1377.939941,2803030000
11/1/2006,1377.76001,1381.949951,1366.26001,1367.810059,1367.810059,2821160000
11/2/2006,1367.439941,1368.390015,1362.209961,1367.339966,1367.339966,2646180000
11/3/2006,1367.310059,1371.680054,1360.97998,1364.300049,1364.300049,2419730000
11/6/2006,1364.27002,1381.400024,1364.27002,1379.780029,1379.780029,2533550000
11/7/2006,1379.75,1388.189941,1379.189941,1382.839966,1382.839966,2636390000
11/8/2006,1382.5,1388.609985,1379.329956,1385.719971,1385.719971,2814820000
11/9/2006,1385.430054,1388.920044,1377.310059,1378.329956,1378.329956,3012050000
11/10/2006,1378.329956,1381.040039,1375.599976,1380.900024,1380.900024,2290200000
11/13/2006,1380.579956,1387.609985,1378.800049,1384.420044,1384.420044,2386340000
11/14/2006,1384.359985,1394.48999,1379.069946,1393.219971,1393.219971,3027480000
11/15/2006,1392.910034,1401.349976,1392.130005,1396.569946,1396.569946,2831130000
11/16/2006,1396.530029,1403.76001,1396.530029,1399.76001,1399.76001,2835730000
11/17/2006,1399.76001,1401.209961,1394.550049,1401.199951,1401.199951,2726100000
11/20/2006,1401.170044,1404.369995,1397.849976,1400.5,1400.5,2546710000
11/21/2006,1400.430054,1403.48999,1399.98999,1402.810059,1402.810059,2597940000
11/22/2006,1402.689941,1407.890015,1402.26001,1406.089966,1406.089966,2237710000
11/24/2006,1405.939941,1405.939941,1399.25,1400.949951,1400.949951,832550000
11/27/2006,1400.949951,1400.949951,1381.439941,1381.959961,1381.959961,2711210000
11/28/2006,1381.609985,1387.910034,1377.829956,1386.719971,1386.719971,2639750000
11/29/2006,1386.109985,1401.140015,1386.109985,1399.47998,1399.47998,2790970000
11/30/2006,1399.469971,1406.300049,1393.829956,1400.630005,1400.630005,4006230000
12/1/2006,1400.630005,1402.459961,1385.930054,1396.709961,1396.709961,2800980000
12/4/2006,1396.670044,1411.22998,1396.670044,1409.119995,1409.119995,2766320000
12/5/2006,1409.099976,1415.27002,1408.780029,1414.76001,1414.76001,2755700000
12/6/2006,1414.400024,1415.930054,1411.050049,1412.900024,1412.900024,2725280000
12/7/2006,1412.859985,1418.27002,1406.800049,1407.290039,1407.290039,2743150000
12/8/2006,1407.27002,1414.089966,1403.670044,1409.839966,1409.839966,2440460000
12/11/2006,1409.810059,1415.599976,1408.560059,1413.040039,1413.040039,2289900000
12/12/2006,1413,1413.780029,1404.75,1411.560059,1411.560059,2738170000
12/13/2006,1411.319946,1416.640015,1411.050049,1413.209961,1413.209961,2552260000
12/14/2006,1413.160034,1427.22998,1413.160034,1425.48999,1425.48999,2729700000
12/15/2006,1425.47998,1431.630005,1425.47998,1427.089966,1427.089966,3229580000
12/18/2006,1427.079956,1431.810059,1420.650024,1422.47998,1422.47998,2568140000
12/19/2006,1422.420044,1428.300049,1414.880005,1425.550049,1425.550049,2717060000
12/20/2006,1425.51001,1429.050049,1423.51001,1423.530029,1423.530029,2387630000
12/21/2006,1423.199951,1426.400024,1415.900024,1418.300049,1418.300049,2322410000
12/22/2006,1418.099976,1418.819946,1410.280029,1410.76001,1410.76001,1647590000
12/26/2006,1410.75,1417.910034,1410.449951,1416.900024,1416.900024,1310310000
12/27/2006,1416.630005,1427.719971,1416.630005,1426.839966,1426.839966,1667370000
12/28/2006,1426.77002,1427.26001,1422.050049,1424.72998,1424.72998,1508570000
12/29/2006,1424.709961,1427,1416.839966,1418.300049,1418.300049,1678200000
1/3/2007,1418.030029,1429.420044,1407.859985,1416.599976,1416.599976,3429160000
1/4/2007,1416.599976,1421.839966,1408.430054,1418.339966,1418.339966,3004460000
1/5/2007,1418.339966,1418.339966,1405.75,1409.709961,1409.709961,2919400000
1/8/2007,1409.26001,1414.97998,1403.969971,1412.839966,1412.839966,2763340000
1/9/2007,1412.839966,1415.609985,1405.420044,1412.109985,1412.109985,3038380000
